frame,predicted_count,truth_count,tp,fp,fn
0,92,98,82,10,16
1,93,93,73,20,20
2,89,98,87,2,11
3,89,89,75,14,14
4,91,111,89,2,22
5,87,91,78,9,13
8,95,94,84,11,10
9,87,89,71,16,18
10,88,108,83,5,25
11,84,79,74,10,5
12,92,104,90,2,14
20,97,117,97,0,20
30,83,85,77,6,8
40,83,92,78,5,14
48,77,73,67,10,6
49,85,89,77,8,12
50,91,88,80,11,8
51,82,85,72,10,13
52,85,114,84,1,30
53,82,87,69,13,18
60,83,85,73,10,12
70,85,85,75,10,10
78,92,116,91,1,25
79,80,82,72,8,10
80,60,68,55,5,13
81,80,82,70,10,12
82,81,88,76,5,12
86,83,82,72,11,10
87,91,105,85,6,20
88,77,94,76,1,18
