frame,predicted_count,truth_count,tp,fp,fn,error_score
9,89,89,70,19,19,38
80,68,68,51,17,17,34
53,83,87,69,14,18,32
10,91,108,84,7,24,31
52,88,114,86,2,28,30
40,89,92,76,13,16,29
78,94,116,91,3,25,28
4,93,111,88,5,23,28
0,94,98,82,12,16,28
3,89,89,75,14,14,28
88,81,94,74,7,20,27
5,92,91,78,14,13,27
87,94,105,87,7,18,25
51,84,85,72,12,13,25
1,98,93,83,15,10,25
82,89,88,77,12,11,23
81,80,82,70,10,12,22
79,82,82,71,11,11,22
49,91,89,79,12,10,22
86,84,82,72,12,10,22
60,89,85,76,13,9,22
50,93,88,80,13,8,21
20,99,117,99,0,18,18
2,94,98,87,7,11,18
70,95,85,81,14,4,18
11,86,79,74,12,5,17
12,98,104,93,5,11,16
30,87,85,78,9,7,16
48,79,73,68,11,5,16
8,99,94,89,10,5,15
